资产名,UE路径,类型,时长秒,帧数,RateScale,Additive类型,根XY轨迹cm_21点取样,启用RootMotion,原通知,首版状态,设计用途
Ability_R_Jog_Fwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_Jog_Fwd.Ability_R_Jog_Fwd,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_R_Jog_Fwd_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_Jog_Fwd_MSA.Ability_R_Jog_Fwd_MSA,AnimSequence,1.8,54,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_R_target,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_target.Ability_R_target,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_R_target_additive,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_target_additive.Ability_R_target_additive,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Ability_R_target_transition,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_target_transition.Ability_R_target_transition,AnimSequence,0.8,24,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_R_target_transition_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_R_target_transition_MSA.Ability_R_target_transition_MSA,AnimSequence,0.8,24,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_RMB,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_RMB.Ability_RMB,AnimSequence,1.3333,40,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,影袭斩
Ability_RMB_InMotion,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_RMB_InMotion.Ability_RMB_InMotion,AnimSequence,1.3333,40,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_RMB_InMotion_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_RMB_InMotion_MSA.Ability_RMB_InMotion_MSA,AnimSequence,1.3333,40,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Ability_Ultimate,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Ultimate.Ability_Ultimate,AnimSequence,3.1667,95,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,第二阶段血宴跃斩
Ability_Ultimate_InMotion,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Ultimate_InMotion.Ability_Ultimate_InMotion,AnimSequence,3.1667,95,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Ability_Ultimate_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Ability_Ultimate_MSA.Ability_Ultimate_MSA,AnimSequence,3.1667,95,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
AimOffsets/Idle_AO,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO.Idle_AO,AimOffsetBlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
AimOffsets/Idle_AO_CC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_CC.Idle_AO_CC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_CD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_CD.Idle_AO_CD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_CU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_CU.Idle_AO_CU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LBC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LBC.Idle_AO_LBC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LBD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LBD.Idle_AO_LBD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LBU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LBU.Idle_AO_LBU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LC.Idle_AO_LC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LD.Idle_AO_LD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_LU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_LU.Idle_AO_LU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RBC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RBC.Idle_AO_RBC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RBD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RBD.Idle_AO_RBD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RBU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RBU.Idle_AO_RBU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RC.Idle_AO_RC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RD.Idle_AO_RD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/Idle_AO_RU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/Idle_AO_RU.Idle_AO_RU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO.TravelMode_AO,AimOffsetBlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
AimOffsets/TravelMode_AO_CC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_CC.TravelMode_AO_CC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_CD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_CD.TravelMode_AO_CD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_CU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_CU.TravelMode_AO_CU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LBC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LBC.TravelMode_AO_LBC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LBD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LBD.TravelMode_AO_LBD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LBU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LBU.TravelMode_AO_LBU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LC.TravelMode_AO_LC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LD.TravelMode_AO_LD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_LU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_LU.TravelMode_AO_LU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RBC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RBC.TravelMode_AO_RBC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RBD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RBD.TravelMode_AO_RBD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RBU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RBU.TravelMode_AO_RBU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RC,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RC.TravelMode_AO_RC,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RD,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RD.TravelMode_AO_RD,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
AimOffsets/TravelMode_AO_RU,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/AimOffsets/TravelMode_AO_RU.TravelMode_AO_RU,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Attack_Melee_Air,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Attack_Melee_Air.Attack_Melee_Air,AnimSequence,1.0333,31,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Attack_Melee_Air_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Attack_Melee_Air_MSA.Attack_Melee_Air_MSA,AnimSequence,1.0333,31,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Blendspaces/JogBwdSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/JogBwdSlopeLean.JogBwdSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/JogFwdSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/JogFwdSlopeLean.JogFwdSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/JogLeftSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/JogLeftSlopeLean.JogLeftSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/JogRightSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/JogRightSlopeLean.JogRightSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/SprintBwdSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/SprintBwdSlopeLean.SprintBwdSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/SprintFwdSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/SprintFwdSlopeLean.SprintFwdSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/SprintLeftSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/SprintLeftSlopeLean.SprintLeftSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/SprintRightSlopeLean,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/SprintRightSlopeLean.SprintRightSlopeLean,BlendSpace,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Blendspaces/TurnInPlace,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Blendspaces/TurnInPlace.TurnInPlace,BlendSpace1D,,,,,,,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Bound,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Bound.Bound,AnimSequence,0.0333,1,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,姿态参考,单帧定姿，不作为完整攻击
Cast,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Cast.Cast,AnimSequence,1.1333,34,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,转阶段
Cast_MSA,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Cast_MSA.Cast_MSA,AnimSequence,1.1333,34,1.0,<AdditiveAnimationType.AAT_ROTATION_OFFSET_MESH_SPACE: 2>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Death,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Death.Death,AnimSequence,1.6667,50,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,死亡并保持末帧
Emote_70sDance,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_70sDance.Emote_70sDance,AnimSequence,6.3,189,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Emote_70sDance_Intro,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_70sDance_Intro.Emote_70sDance_Intro,AnimSequence,1.8667,56,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Emote_70sDance_Loop,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_70sDance_Loop.Emote_70sDance_Loop,AnimSequence,2.4,72,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Emote_70sDance_Outro,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_70sDance_Outro.Emote_70sDance_Outro,AnimSequence,2.0333,61,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Emote_Laugh,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_Laugh.Emote_Laugh,AnimSequence,7.5333,226,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Emote_Taunt_Nope,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Emote_Taunt_Nope.Emote_Taunt_Nope,AnimSequence,8.7,261,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
EmoteALT_Master_SeductiveScare_T3,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/EmoteALT_Master_SeductiveScare_T3.EmoteALT_Master_SeductiveScare_T3,AnimSequence,11.6667,350,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
FrontEndPose,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/FrontEndPose.FrontEndPose,AnimSequence,7.5,225,0.8999999761581421,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Hitreact_Bwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Hitreact_Bwd.Hitreact_Bwd,AnimSequence,1.0,30,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,首版使用,方向性局部叠加受击
Hitreact_Fwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Hitreact_Fwd.Hitreact_Fwd,AnimSequence,1.0,30,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,首版使用,方向性局部叠加受击
Hitreact_Left,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Hitreact_Left.Hitreact_Left,AnimSequence,1.0,30,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,首版使用,方向性局部叠加受击
Hitreact_Right,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Hitreact_Right.Hitreact_Right,AnimSequence,1.0,30,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,首版使用,方向性局部叠加受击
Idle_Additive,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_Additive.Idle_Additive,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Idle_Facial,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_Facial.Idle_Facial,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Idle_Pose,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_Pose.Idle_Pose,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,战斗待机
Idle_Relaxed,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_Relaxed.Idle_Relaxed,AnimSequence,42.3333,1270,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,首版使用,脱战待机
Idle_Straight,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_Straight.Idle_Straight,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Idle_TravelMode_Additive,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_TravelMode_Additive.Idle_TravelMode_Additive,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_LOCAL_SPACE_BASE: 1>,0.0,False,,保留候选,叠加素材；先核对Additive类型与基准姿态
Idle_TravelMode_Pose,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Idle_TravelMode_Pose.Idle_TravelMode_Pose,AnimSequence,7.5,225,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
Jog_Bwd,/Game/ParagonCountess/Characters/Heroes/Countess/Animations/Jog_Bwd.Jog_Bwd,AnimSequence,0.7,21,1.0,<AdditiveAnimationType.AAT_NONE: 0>,0.0,False,,保留候选,首版未选入；可用于后续移动细化或扩展动作
