资产名,类别,实际类型,时长秒_未乘RateScale,动画帧数,SequenceRateScale,EnableRootMotion,ForceRootLock,根净位移Xcm,根净位移Ycm,根净位移Zcm,水平根轨迹路程cm_61采样,根高度幅度cm,根累计Yaw度,原始水平平均路径速度cm每秒,当前RateScale下平均路径速度_仅序列倍率,本资产Notify数量,引用片段,建议用途,Skeleton,UE路径,文件SHA256
Air_Attack_06_Out_Anim,空中攻击,AnimSequence,1.899999976158142,114,1.0,False,False,0.0,-1.107,0.0,21.491,0.0,0.0,11.311,11.311,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_06_Out_Anim,eef9f8e7411ab39ae6d8186cd81e34ba20755c8503d610da83424a1848bc9501
Air_Attack_Combo_Anim,空中攻击,AnimSequence,2.3333332538604736,140,1.0,False,False,0.0,-3.633,0.201,1472.763,201.787,0.0,631.184,631.184,9,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Air_Attack_Combo_Anim,23fc23157eaf20fe03d620e74650cf51800abdedc67b4012f754bba5f00f1b0c
AM_Dead,现有蒙太奇,AnimMontage,4.633333206176758,277,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Dead_Anim.Dead_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Dead,aa308980448e2de1f45ea8bc707408eb62742a9dee5aa5516b4126ad81fd1b8a
AM_Dodge_B_Anim_Montage,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Dodge_B_Anim.Dodge_B_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Dodge_B_Anim_Montage,4889ac2aa125ca0b16b462f05b02776336a4ea01548a8cd88eed296ca168ddb4
AM_Dodge_F_Anim_Montage,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Dodge_F_Anim.Dodge_F_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Dodge_F_Anim_Montage,05efb600ca6949bf321e3e597f8c52bc3b121b07e95424b582631cf1beee63cf
AM_Dodge_L_Anim_Montage,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Dodge_L_Anim.Dodge_L_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Dodge_L_Anim_Montage,8a8bd1eae70a7d4b02ca29238d01c37999f0f5fc49a94bcb7efc33b906bd7c16
AM_Dodge_R_Anim_Montage,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Dodge_R_Anim.Dodge_R_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Dodge_R_Anim_Montage,a5b652e2cd73de6529ad44dcbee8049fc2ccf5ba608e192233c671ad67722850
AM_DownHit,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Down_01_Hit_Anim.Down_01_Hit_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_DownHit,22ae7ae6dc4e2944abfdb3ed442c324c7d9b5082b708f6ff79034adfcc966849
AM_EnemyParryStagger,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Block_Breach_Anim.Block_Breach_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_EnemyParryStagger,647cc4d567a03e31d0df79d990a7f8bb8744bb4d43f56856278ebe19289160bc
AM_EnemySwordAttack,现有蒙太奇,AnimMontage,1.6333333253860474,97,1.0,,,,,,,,,,,1,/Game/Third/SwordAnimation/Attack_Combo_01_01_Anim.Attack_Combo_01_01_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_EnemySwordAttack,5833f5023aef8a45917bfdf1381fd86eee93d313dae24627bb54bb3e2ecf36cf
AM_GetUp,现有蒙太奇,AnimMontage,1.4166666269302368,84,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Down_01_Getup_Anim.Down_01_Getup_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_GetUp,784ecf16eac27f5eb3ed7dec82e8e0f34c8488ca4e17e6fe0cf4f2985bf75c7d
AM_Hit_Air,现有蒙太奇,AnimMontage,0.5,29,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Hit_Air_Anim.Hit_Air_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Hit_Air,1411e3a6ac01152401c837a88cd90c7a9889c3996027bcaf9f726d6aa18713f5
AM_Sword_AirAttack,现有蒙太奇,AnimMontage,0.9666666388511658,57,1.0,,,,,,,,,,,1,/Game/Third/SwordAnimation/Air_Attack_03_Anim.Air_Attack_03_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_AirAttack,ac89e93148290d0bd9692f5fdaa0ae7ab3101688b8ccbce6c1576e6a719c774d
AM_Sword_Attack_01,现有蒙太奇,AnimMontage,1.6333333253860474,97,1.0,,,,,,,,,,,3,/Game/Third/SwordAnimation/Attack_Combo_01_01_Anim.Attack_Combo_01_01_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Attack_01,3908296263e2bb2d0289570902b914079e315cb25fe46fd4d3c42016d20f887c
AM_Sword_Attack_02,现有蒙太奇,AnimMontage,1.8833333253860474,112,1.0,,,,,,,,,,,3,/Game/Third/SwordAnimation/Attack_Combo_01_02_Anim.Attack_Combo_01_02_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Attack_02,011472809560bb000cf8caafc8f4855f8219d77bb76bb4fce89486ecfe524939
AM_Sword_Attack_03,现有蒙太奇,AnimMontage,1.8666666746139526,111,1.0,,,,,,,,,,,3,/Game/Third/SwordAnimation/Attack_Combo_01_03_Anim.Attack_Combo_01_03_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Attack_03,018bb470f5dd0985460e4de0feae6bc32913f6d07015d7594bf7af3e261e7f78
AM_Sword_Attack_04,现有蒙太奇,AnimMontage,1.899999976158142,113,1.0,,,,,,,,,,,2,/Game/Third/SwordAnimation/Attack_Combo_01_04_Anim.Attack_Combo_01_04_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Attack_04,53320fca26f883eebfd0fdeab3ba55d3d849660569534d65830589892bcd3a79
AM_Sword_Idle,现有蒙太奇,AnimMontage,2.1666667461395264,129,1.0,,,,,,,,,,,0,/Game/Third/SwordAnimation/Idle_Anim.Idle_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Idle,8523600e03b8559d12588da7bf7558502db19af71f5bb880124284510905ccb2
AM_Sword_Rising,现有蒙太奇,AnimMontage,1.0,59,1.0,,,,,,,,,,,1,/Game/Third/SwordAnimation/Attack_Rising_Anim.Attack_Rising_Anim,复用；按动作数据和窗口配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/AM_Sword_Rising,14e8c26a6df2a3113ba1700730d515660c944248eb48f2d2305834fc8b9eb47c
Attack_Combo_01_01_Anim,地面攻击,AnimSequence,1.6333333253860474,98,1.0,True,False,0.0,88.837,0.0,159.117,0.0,0.0,97.418,97.418,1,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_01_01_Anim,16983e1113fbd247440aae6a1141278d95cc44032f03734fe5b8cb3d16bcb936
Attack_Combo_01_02_Anim,地面攻击,AnimSequence,1.8833333253860474,113,1.0,True,False,0.0,171.778,0.0,216.958,0.0,0.0,115.199,115.199,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_01_02_Anim,fb586276fdc95b6c7c54cce8231b717eef56588554690baa80e7227efde6ae7a
Attack_Combo_01_03_Anim,地面攻击,AnimSequence,1.8666666746139526,112,1.0,True,False,0.0,168.765,0.0,225.848,0.0,0.0,120.99,120.99,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_01_03_Anim,c0c40317827fff5ef94c78961a45b8a6618b41bf05eda73608e41955d9ce034c
Attack_Combo_01_04_Anim,地面攻击,AnimSequence,1.899999976158142,114,1.0,True,False,0.0,131.92,0.0,190.537,0.0,0.0,100.282,100.282,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_01_04_Anim,25bcc1a84eea79cc4b19ae97220784cb769a009cc7aba31c3e64a3964af757b4
Attack_Combo_01_Anim,地面攻击,AnimSequence,3.0333333015441895,182,1.0,False,False,0.0,573.227,0.0,636.019,0.0,0.0,209.677,209.677,9,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_01_Anim,a09bacd31110be4746325a089c1309b5ca877c905c2107a78e75590482773a47
Attack_Combo_02_01_Anim,地面攻击,AnimSequence,1.6166666746139526,97,1.0,False,False,0.0,129.418,0.0,195.201,0.0,0.0,120.743,120.743,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_02_01_Anim,3271b90030e41cc0f447a42138064b316bc89779fc1235e1de1a1cd727f50bff
Attack_Combo_02_02_Anim,地面攻击,AnimSequence,1.7833333015441895,107,1.0,False,False,0.0,210.142,0.0,282.235,0.0,0.0,158.263,158.263,3,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_02_02_Anim,2cd4ff764944569703729a474a95bd8c9235494296311231ac2ca0331b125435
Attack_Combo_02_03_Anim,地面攻击,AnimSequence,1.7333333492279053,104,1.0,True,False,0.0,210.475,0.0,315.473,0.0,0.0,182.004,182.004,4,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_02_03_Anim,45dfdc9e2694f552beb06b4618fbbfccd01981aad78cd9172a66418460ae566b
Attack_Combo_02_04_Anim,地面攻击,AnimSequence,2.116666555404663,127,1.0,False,False,0.0,118.967,0.0,155.58,0.0,0.0,73.503,73.503,4,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_02_04_Anim,85474ad64aea7274f367f84a00aaa4546405683b4ea4875cd96296b1ab7a8efc
Attack_Combo_02_Anim,地面攻击,AnimSequence,3.2166666984558105,193,1.0,False,False,0.0,462.317,0.0,625.456,0.0,0.0,194.442,194.442,10,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_02_Anim,110f2716261ada5f1ae1ae9eeb37193f09eb1e85996707df104397d302c6fc2b
Attack_Combo_03_01_Anim,地面攻击,AnimSequence,1.6666666269302368,100,1.0,False,False,0.0,279.424,0.0,331.229,0.0,0.0,198.738,198.738,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_03_01_Anim,7f28f435630ef89f893ed120f1674f11a4f2e7628412bb742c0604f773db5ae0
Attack_Combo_03_02_Anim,地面攻击,AnimSequence,1.7833333015441895,107,1.0,False,False,0.0,111.313,0.0,143.976,0.0,0.0,80.734,80.734,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_03_02_Anim,292049dcf426da875999b826a4047b52e108ef7a52a1737b7c6eeb93c7a639af
Attack_Combo_03_03_Anim,地面攻击,AnimSequence,2.0166666507720947,121,1.0,False,False,0.0,344.311,0.0,615.308,0.0,0.0,305.111,305.111,4,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_03_03_Anim,6c44902b2560e456e6d309880e578730b3320b33eb5c46a68d5502d1bf0fcc5a
Attack_Combo_03_04_Anim,地面攻击,AnimSequence,2.0999999046325684,126,1.0,True,False,0.0,228.71,0.0,243.309,0.0,0.0,115.861,115.861,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_03_04_Anim,5353994f9ab97794949d25d50f977c892c6aaefd45a23012682c77e2ded08075
Attack_Combo_03_Anim,地面攻击,AnimSequence,4.050000190734863,243,1.0,False,False,-0.0,870.155,0.0,1128.481,0.0,0.0,278.637,278.637,8,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Combo_03_Anim,69784ef847eff79a262d796dd509fb2e43841fbdf8f064f8688a945170aed04d
Attack_Rising_Anim,地面攻击,AnimSequence,1.0,60,1.0,True,False,0.0,213.563,0.0,213.563,198.235,0.0,213.563,213.563,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Rising_Anim,51d5ea613a51c13f1ac92181ea58e3b8c9ff69e0892c540d766c24cdd15542ba
Attack_Sprint_Anim,地面攻击,AnimSequence,1.5833333730697632,95,1.0,False,False,0.0,108.076,0.0,182.234,0.0,0.0,115.095,115.095,2,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Attack_Sprint_Anim,ebeb882c69b31bb618e5a3a4cbd82eb428a91ca660f1d370a6ffa5befa77c9b8
Block_Breach_Anim,防御,AnimSequence,1.0,60,1.0,False,False,0.0,-25.673,0.0,25.673,0.0,0.0,25.673,25.673,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Block_Breach_Anim,2fb71eb501c44a5d1404034710c633b99560cc0a00d6003546ff6d748ab4d999
Block_Hit_Anim,防御,AnimSequence,0.4166666567325592,25,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Block_Hit_Anim,3dc7606211a0278001d581919e2f6e6a90d43a8748646078f50fde0f25331187
Block_Hold_Anim,防御,AnimSequence,3.3333332538604736,200,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Block_Hold_Anim,7f85e1a7c21cbf110b5e77fa08be9ea3159697ca41febf7eefaa6c2f79529238
Block_In_Anim,防御,AnimSequence,0.3333333432674408,20,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Block_In_Anim,d5846afb8ae60c49befda095e3b3695f46b447cff3c4798ebe8e0c5cbeaf1a09
Block_Out_Anim,防御,AnimSequence,0.3333333432674408,20,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Block_Out_Anim,59f86378c7671375f0943b0f2c5be1560715a5484963945f4b362e486537af02
Buff_In_Anim,增益技能,AnimSequence,0.3499999940395355,21,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Buff_In_Anim,65642430a49c920ee06ad736f5aec69c252efe8a77caa1d8397c19dbac257c66
Buff_Loop_Anim,增益技能,AnimSequence,0.8333333134651184,50,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Buff_Loop_Anim,ad0cc5c8b268e3291861477da875d6a71237790cb6f4220a1f52f5c9e7ab6032
Buff_out_Anim,增益技能,AnimSequence,1.149999976158142,69,1.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,按方案派生/复用 Montage 或分段状态；完整与拆分版本择一,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Buff_out_Anim,e2a48a1e3931c2580d488d52b69b6e513e916f2adce0303ce6048e63c03adb22
Crouch_Idle_Anim,蹲姿,AnimSequence,2.0,120,1.0,False,False,0.0,0.0,0.0,3.661,0.0,0.0,1.831,1.831,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Idle_Anim,92136a7a148f22ae1f705c1c40dda838466f17981da88b754a126bcb137ec09f
Crouch_In_Anim,蹲姿,AnimSequence,0.5,30,1.0,False,False,0.0,-0.0,0.0,13.68,0.0,0.0,27.361,27.361,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_In_Anim,fb601c57de6eb601bf0b4262d12784d630caabc1c489cf910578d895f9540822
Crouch_Out_Anim,蹲姿,AnimSequence,0.5,30,1.0,False,False,0.0,0.0,0.0,24.303,0.0,0.0,48.607,48.607,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Out_Anim,73cb1d5f329cb6fc335f34350b5fc0a7cd15682c600bc0db11137d828ace8ecf
Crouch_Walk_B_Anim,蹲姿,AnimSequence,2.0,120,1.0,False,True,0.0,-168.5,0.0,168.5,0.0,0.0,84.25,84.25,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Walk_B_Anim,a23a980a3c42ba2b9bbba2568d9f74152e6e355bb9fe6a8e41ce5e5f4ba558ee
Crouch_Walk_B_L_Anim,蹲姿,AnimSequence,2.0,120,1.0,False,True,119.147,-119.147,0.0,168.5,0.0,0.0,84.25,84.25,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Walk_B_L_Anim,ad68711937fd895b304c743ff7fa3d622c7f51f1e83441048d6616d2ac493f0b
Crouch_Walk_B_R_Anim,蹲姿,AnimSequence,2.0,120,1.0,False,True,-119.147,-119.147,0.0,168.5,0.0,0.0,84.25,84.25,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Walk_B_R_Anim,703b0ceb2f7616f6927ceb85f5c2393e3b5b23c5710dbda0a81ccef5bc0a2563
Crouch_Walk_F_Anim,蹲姿,AnimSequence,2.0,120,1.0,False,True,0.0,168.5,0.0,168.5,0.0,0.0,84.25,84.25,0,,Sequence/BlendSpace/状态机；位移策略单独配置,/Game/Characters/Mannequins/Meshes/SK_Mannequin.SK_Mannequin,/Game/Third/SwordAnimation/Crouch_Walk_F_Anim,60b394a3b497a0db2b42ab1265a3d1fc4eefa2a93896f143c7ff54dcf1ee0638
